Part_Number,Discountable
100800,Y
100807,Y
100809,Y
100819,Y
100816,Y
101814,Y
101815,N
100802,N
100985.1,N
100985.2,N
100986,N
100987,N
103006,N
100916,Y
100924,Y
100925,Y
102100,N
103005,N
100980,N
100981,N
100930,N
100931,N
100932,N
100684,N
000637,N
000876,N
000833,N
100545,N
200100,Y
200200,Y
200300,Y
200400,N
200500,Y
200600,Y
200001,N
300100,Y
300200,Y
300300,Y
300400,N
300500,Y
300600,Y
300999,Y
100640.99,Y
100641.99,Y
100699.99,Y
