sheet,rows,optional,main,unclassified,missing_part_numbers
"i-BMS config ",6,3,1,2,0
"c-BMS24 config",8,5,1,2,0
"c-BMS24X config",8,5,1,2,0
"n-BMS w 100809",9,5,0,4,0
"n3-BMS w 100809",9,5,1,3,0
"n3-BMS w 101814",9,5,1,3,0
